date, pm25, pm10, o3, no2, so2, co
2025/6/16, 106, , 43, 4, 3, 4
2025/6/17, 106, , 46, 3, 3, 4
2025/6/18, 61, , 41, 7, 3, 4
2025/6/19, 54, , 41, 3, 2, 4
2025/6/20, 53, , 46, 2, 2, 4
2025/6/21, 60, , 46, 5, 3, 4
2025/6/22, 66, , 49, 3, 2, 4
2025/6/23, 68, , 41, 2, 2, 4
2025/6/24, 57, , 40, 4, 2, 4
2025/6/25, 51, , 40, 9, 2, 5
2025/6/26, 52, 1, 45, 9, 2, 5
2025/6/27, 59, , 42, 7, 2, 5
2025/6/28, 60, 1, 42, 12, 2, 5
2025/6/29, 63, , 42, 6, 2, 4
2025/6/30, 65, , 40, 11, 2, 4
2025/1/1, 73, 35, 27, 27, 2, 7
2025/1/2, 82, 33, 25, 26, 2, 9
2025/1/3, 83, 33, 24, 22, 2, 8
2025/1/4, 86, 41, 13, 25, 2, 7
2025/1/5, 106, 52, 30, 19, 2, 5
2025/1/6, 70, 43, 30, 30, 3, 6
2025/1/7, 75, 41, 31, 26, 4, 5
2025/1/8, 75, 38, 32, 27, 4, 5
2025/1/9, 70, 41, 37, 19, 3, 5
2025/1/10, 68, 39, 36, 8, 2, 5
2025/1/11, 77, 31, 28, 19, 2, 5
2025/1/12, 67, 33, 27, 30, 2, 7
2025/1/13, 74, 39, 18, 35, 2, 8
2025/1/14, 81, 45, 29, 28, 4, 9
2025/1/15, 84, 47, 36, 27, 2, 8
2025/1/16, 91, 37, 33, 19, 2, 7
2025/1/17, 77, 22, 36, 11, 2, 5
2025/1/18, 58, 21, 29, 24, 2, 7
2025/1/19, 53, 29, 28, 22, 3, 7
2025/1/20, 59, 29, 26, 27, 2, 7
2025/1/21, 58, 45, 31, 21, 3, 7
2025/1/22, 70, 24, 27, 19, 2, 6
2025/1/23, 49, 14, 26, 17, 2, 7
2025/1/24, 37, 12, 30, 12, 3, 6
2025/1/25, 44, 21, 28, 17, 3, 8
2025/1/26, 55, 38, 31, 26, 2, 8
2025/1/27, 72, 42, 33, 18, 3, 7
2025/1/28, 82, 32, 29, 20, 3, 6
2025/1/29, 67, 42, 32, 33, 2, 7
2025/1/30, 84, 45, 37, 16, 2, 7
2025/1/31, 89, 20, 37, 8, 1, 5
2025/2/1, 44, 24, 36, 21, 1, 7
2025/2/2, 63, 43, 34, 26, 1, 9
2025/2/3, 93, 46, 40, 21, 2, 8
2025/2/4, 99, 24, 32, 15, 2, 6
2025/2/5, 63, 27, 32, 6, 1, 5
2025/2/6, 45, 19, 31, 5, 2, 5
2025/2/7, 32, 13, 31, 6, 2, 5
2025/2/8, 27, 15, 17, 21, 1, 7
2025/2/9, 44, 17, 20, 20, 2, 7
2025/2/10, 49, 20, 25, 21, 1, 7
2025/2/11, 53, 22, 20, 22, 2, 7
2025/2/12, 53, 16, 33, 11, 2, 5
2025/2/13, 41, 24, 35, 12, 2, 4
2025/2/14, 47, 22, 35, 13, 2, 5
2025/2/15, 51, 38, 30, 18, 2, 5
2025/2/16, 64, 54, 35, 21, 1, 6
2025/2/17, 76, 51, 38, 27, 2, 6
2025/2/18, 77, 50, 34, 20, 2, 5
2025/2/19, 80, 21, 36, 5, 2, 4
2025/2/20, 43, 17, 42, 6, 2, 4
2025/2/21, 33, 12, 32, 7, 2, 4
2025/2/22, 32, 10, 31, 10, 2, 4
2025/2/23, 29, 9, 27, 16, 2, 5
2025/2/24, 29, 18, 36, 22, 2, 5
2025/2/25, 50, 25, 36, 23, 2, 6
2025/2/26, 63, 23, 35, 21, 3, 6
2025/2/27, 62, 25, 41, 17, 3, 7
2025/2/28, 64, 17, 33, 10, 2, 6
2025/3/1, 52, 15, 36, 19, 2, 6
2025/3/2, 46, 24, 39, 23, 2, 8
2025/3/3, 58, 34, 37, 21, 2, 7
2025/3/4, 67, 93, 34, 19, 2, 8
2025/3/5, 104, 96, 32, 11, 2, 6
2025/3/6, 96, 30, 33, 11, 2, 5
2025/3/7, 63, 30, 40, 9, 2, 6
2025/3/8, 76, 31, 38, 16, 2, 8
2025/3/9, 72, 31, 36, 15, 1, 6
2025/3/10, 65, 31, 37, 18, 1, 7
2025/3/11, 64, 39, 43, 23, 1, 7
2025/3/12, 76, 40, 47, 22, 2, 6
2025/3/13, 64, 55, 46, 22, 3, 8
2025/3/14, 88, 39, 50, 10, 3, 7
2025/3/15, 76, 40, 42, 25, 2, 9
2025/3/16, 85, 48, 65, 33, 3, 8
2025/3/17, 94, 52, 41, 15, 3, 6
2025/3/18, 86, 36, 40, 3, 2, 4
2025/3/19, 53, 27, 39, 4, 2, 1
2025/3/20, 41, 21, 38, 4, 3, 1
2025/3/21, 37, 11, 37, 7, 2, 2
2025/3/22, 31, 14, 42, 16, 2, 3
2025/3/23, 42, 18, 49, 18, 3, 3
2025/3/24, 49, 26, 44, 18, 3, 4
2025/3/25, 57, 38, 49, 28, 3, 5
2025/3/26, 70, 45, 48, 34, 3, 6
2025/3/27, 85, 52, 58, 23, 3, 6
2025/3/28, 90, 53, 44, 2, 2, 1
2025/3/29, 68, 24, 39, 11, 2, 2
2025/3/30, 37, 32, 42, 19, 2, 2
2025/3/31, 46, 63, 41, 22, 3, 1
2024/10/1, 54, 20, 40, 6, 2, 4
2024/10/2, 45, 18, 42, 8, 2, 5
2024/10/3, 47, 22, 44, 9, 2, 6
2024/10/4, 60, 17, 41, 7, 2, 5
2024/10/5, 54, 17, 40, 7, 2, 5
2024/10/6, 51, 16, 38, 7, 2, 4
2024/10/7, 47, 20, 30, 12, 2, 5
2024/10/8, 54, 27, 28, 13, 2, 6
2024/10/9, 57, 23, 28, 10, 3, 5
2024/10/10, 56, 17, 34, 5, 2, 4
2024/10/11, 62, 12, 25, 3, 1, 4
2024/10/12, 53, 23, 23, 12, 2, 5
2024/10/13, 54, 34, 26, 14, 3, 5
2024/10/14, 63, 40, 35, 13, 2, 5
2024/10/15, 67, 30, 39, 10, 2, 6
2024/10/16, 59, 19, 35, 4, 2, 5
2024/10/17, 54, 23, 42, 8, 3, 5
2024/10/18, 57, 21, 41, 8, 3, 5
2024/10/19, 43, 25, 46, 16, 3, 5
2024/10/20, 46, 31, 46, 17, 4, 6
2024/10/21, 56, 28, 39, 19, 4, 5
2024/10/22, 56, 35, 46, 14, 4, 4
2024/10/23, 51, 30, 44, 11, 3, 4
2024/10/24, 44, 75, 41, 16, 4, 4
2024/10/25, 78, 118, 55, 13, 4, 5
2024/10/26, 111, 53, 47, 24, 4, 6
2024/10/27, 80, 52, 52, 27, 4, 7
2024/10/28, 83, 49, 51, 25, 3, 6
2024/10/29, 79, 39, 46, 23, 3, 6
2024/10/30, 73, 34, 46, 25, 3, 7
2024/10/31, 68, 35, 46, 18, 3, 6
2024/11/1, 70, 51, 45, 7, 3, 6
2024/11/2, 83, 37, 38, 20, 3, 5
2024/11/3, 72, 21, 38, 23, 2, 5
2024/11/4, 57, 29, 39, 20, 3, 7
2024/11/5, 67, 34, 37, 26, 3, 8
2024/11/6, 71, 37, 39, 21, 3, 7
2024/11/7, 80, 51, 40, 17, 3, 7
2024/11/8, 82, 43, 39, 15, 3, 7
2024/11/9, 86, 43, 42, 19, 3, 7
2024/11/10, 83, 31, 37, 14, 3, 6
2024/11/11, 65, 30, 35, 21, 3, 7
2024/11/12, 61, 31, 39, 22, 3, 7
2024/11/13, 63, 31, 29, 25, 2, 7
2024/11/14, 65, 30, 44, 14, 1, 7
2024/11/15, 64, 23, 30, 11, 1, 7
2024/11/16, 57, 44, 24, 25, 1, 7
2024/11/17, 50, 58, 27, 16, 1, 6
2024/11/18, 58, 20, 21, 18, 1, 7
2024/11/19, 44, 27, 28, 24, 1, 7
2024/11/20, 55, 44, 37, 28, 1, 8
2024/11/21, 68, 53, 39, 24, 1, 9
2024/11/22, 85, 40, 39, 16, 2, 6
2024/11/23, 74, 40, 35, 11, 1, 6
2024/11/24, 77, 25, 33, 8, 1, 5
2024/11/25, 37, 14, 28, 10, 1, 5
2024/11/26, 26, 20, 16, 22, 1, 6
2024/11/27, 39, 19, 27, 18, 1, 7
2024/11/28, 42, 24, 30, 16, 1, 6
2024/11/29, 55, 19, 38, 13, 1, 7
2024/11/30, 56, 29, 36, 27, 2, 8
2024/12/1, 74, 36, 38, 26, 2, 7
2024/12/2, 76, 45, 33, 34, 2, 10
2024/12/3, 92, 46, 30, 23, 1, 6
2024/12/4, 86, 32, 30, 24, 1, 7
2024/12/5, 54, 39, 40, 20, 3, 8
2024/12/6, 62, 68, 36, 21, 2, 9
2024/12/7, 103, 58, 32, 29, 1, 10
2024/12/8, 102, 39, 35, 25, 1, 8
2024/12/9, 69, 39, 19, 37, 2, 11
2024/12/10, 76, 57, 27, 31, 2, 11
2024/12/11, 93, 58, 30, 22, 1, 9
2024/12/12, 93, 22, 33, 6, 1, 5
2024/12/13, 41, 15, 32, 11, 1, 6
2024/12/14, 37, 25, 28, 21, 1, 7
2024/12/15, 49, 40, 32, 28, 2, 8
2024/12/16, 63, 42, 31, 26, 1, 8
2024/12/17, 68, 44, 23, 29, 2, 8
2024/12/18, 75, 50, 20, 35, 2, 11
2024/12/19, 81, 46, 18, 16, 1, 9
2024/12/20, 64, 28, 26, 11, 1, 8
2024/12/21, 62, 23, 28, 21, 1, 8
2024/12/22, 53, 41, 29, 23, 1, 8
2024/12/23, 63, 53, 27, 19, 2, 8
2024/12/24, 63, 55, 24, 27, 2, 12
2024/12/25, 69, 72, 27, 24, 2, 6
2024/12/26, 81, 99, 35, 11, 2, 4
2024/12/27, 111, 82, 33, 7, 2, 4
2024/12/28, 81, 42, 31, 10, 1, 4
2024/12/29, 57, , , , , 
2024/7/1, 63, 29, 42, 8, 1, 5
2024/7/2, 64, 26, 40, 9, 1, 5
2024/7/3, 58, 27, 49, 19, 2, 5
2024/7/4, 59, 30, 33, 16, 3, 7
2024/7/5, 63, 18, 32, 1, 1, 4
2024/7/6, 48, 20, 40, 6, 1, 4
2024/7/7, 58, 27, 40, 7, 1, 5
2024/7/8, 64, 30, 38, 9, 1, 5
2024/7/9, 64, 34, 38, 14, 2, 5
2024/7/10, 76, 34, 33, 10, 1, 5
2024/7/11, 65, 30, 24, 11, 1, 5
2024/7/12, 66, 27, 35, 4, 1, 5
2024/7/13, 68, 23, 45, 7, 1, 4
2024/7/14, 58, 29, 45, 8, 1, 5
2024/7/15, 66, 30, 47, 8, 1, 5
2024/7/16, 66, 30, 41, 10, 1, 4
2024/7/17, 63, 27, 33, 10, 1, 5
2024/7/18, 61, 23, 44, 7, 2, 5
2024/7/19, 62, 23, 45, 1, 1, 4
2024/7/20, 60, 28, 43, 7, 1, 5
2024/7/21, 80, 30, 43, 7, 2, 5
2024/7/22, 75, 27, 40, 8, 2, 5
2024/7/23, 71, 20, 38, 7, 2, 5
2024/7/24, 59, 25, 40, 7, 2, 5
2024/7/25, 60, 23, 43, 5, 2, 4
2024/7/26, 61, 24, 45, 2, 2, 4
2024/7/27, 62, 25, 44, 8, 1, 4
2024/7/28, 62, 21, 40, 6, 1, 4
2024/7/29, 53, 16, 41, 2, 1, 5
2024/7/30, 47, 21, 41, 8, 1, 4
2024/7/31, 61, 23, 38, 13, 2, 5
2024/8/1, 66, 24, 41, 12, 2, 
2024/8/2, 65, 20, 40, 6, 2, 
2024/8/3, 58, 21, 43, 14, 2, 
2024/8/4, 54, 18, 37, 9, 2, 
2024/8/5, 53, 16, 42, 8, 2, 
2024/8/6, 54, 24, 44, 10, 2, 
2024/8/7, 65, 28, 41, 9, 1, 
2024/8/8, 76, 23, 42, 9, 1, 
2024/8/9, 62, 19, 43, 2, 2, 
2024/8/10, 57, 19, 43, 8, 1, 
2024/8/11, 55, 21, 40, 7, 1, 
2024/8/12, 56, 22, 39, 9, 1, 
2024/8/13, 58, 21, 39, 10, 2, 
2024/8/14, 57, 19, 38, 10, 2, 
2024/8/15, 60, 20, 42, 4, 1, 
2024/8/16, 59, 25, 44, 3, 1, 
2024/8/17, 63, 28, 46, 10, 1, 
2024/8/18, 67, 33, 50, 13, 1, 
2024/8/19, 74, 32, 47, 9, 2, 
2024/8/20, 74, 22, 36, 9, 2, 
2024/8/21, 63, 21, 34, 8, 1, 
2024/8/22, 59, 20, 33, 7, 2, 
2024/8/23, 55, 18, 39, 2, 1, 
2024/8/24, 55, 24, 37, 9, 2, 
2024/8/25, 62, 33, 37, 14, 2, 
2024/8/26, 63, 31, 37, 9, 1, 
2024/8/27, 64, 22, 37, 5, 2, 
2024/8/28, 55, 20, 41, 5, 1, 
2024/8/29, 58, 25, 47, 4, 1, 
2024/8/30, 69, 24, 50, 2, 1, 
2024/8/31, 66, 25, 42, 8, 1, 
2024/9/1, 67, 22, 39, 12, 1, 6
2024/9/2, 63, 22, 32, 10, 1, 5
2024/9/3, 57, 16, 40, 8, 1, 4
2024/9/4, 51, 21, 42, 11, 2, 4
2024/9/5, 56, 22, 41, 9, 1, 4
2024/9/6, 57, 22, 43, 4, 1, 4
2024/9/7, 60, 28, 43, 8, 1, 5
